Age ,Gender,Highest Educational Qualification,Degree or Programs,Current Employment Status,"Have you completed any micro-credentials related to IT (e.g., courses on programming, data science, cybersecurity)?","If “Yes,” please specify the areas",How would you rate the relevance of micro-credentials to your current or desired job role?,To what extent can micro-credentials help you improve job-relevant skills that were not covered in your traditional education?,"In your experience, do micro-credentials make you feel more prepared for job responsibilities?",Have you secured a job since graduating?,"If you have secured a job, how long did it take you to find your first job after graduation?",To what extent do you believe that micro-credentials (if obtained) contributed to finding a job within this time period?,How would you rate the relevance of micro-credentials to the job you obtained?,"If you obtained a job several months after graduating, what do you believe were the main reasons for the delay? (Select all that apply)",How much do you agree with the statement: “Having earned a micro-credential has or will improve my employment prospects and job readiness,How likely are you to pursue additional micro-credentials in the future to improve your career prospects?,How do you perceive the value of micro-credentials compared to traditional degrees in securing IT-related job opportunities?,"Optional:
You are welcome to share any additional comments or thoughts on micro-credentials (if any)."
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,App development with flutter ,Moderately relevant,Moderate improvement,Moderately prepared,No,,Moderate contribution,4,Lack of relevant job experience,Neutral,Likely,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Self-employed,Yes,Cyber Security ,Slightly relevant,Considerable improvement,Moderately prepared,No,Less than 1 month,No contribution,4,Lack of relevant job experience,Neutral,Neutral,Neutral,I don’t think it will change a lot
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Considerable improvement,Moderately prepared,No,,,,Lack of relevant job experience,Agree,Neutral,More valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Self-employed,Yes,Programming ,Relevant,Considerable improvement,Well prepared,Yes,1-3 months,Significant contribution,4,Limited job opportunities in my desired field,Agree,Likely,More valuable,Helpful to find a job with your skills
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Self-employed,No,,Relevant,Moderate improvement,Slightly prepared,Yes,12-24 months,Minor contribution (সামান্য অবদান রেখেছে),3,Lack of relevant job experience,Neutral,Neutral,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Student,No,No,Relevant,Considerable improvement,Well prepared,Yes,4-6 months,Significant contribution,5,Lack of relevant job experience,Agree,Likely,More valuable,It's very important for job seekers
24,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Moderately prepared,No,,Moderate contribution,4,Lack of relevant job experience,Agree,Neutral,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Moderately prepared,Yes,4-6 months,Significant contribution,,"Lack of relevant job experience, Personal reasons (e.g., further studies, family obligations)",Neutral,Likely,Less valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,
25,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Considerable improvement,Well prepared,No,More than 24 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Likely,More valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Well prepared,No,,,5,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements",Agree,Likely,Much more valuable,
26,Male,Bachelor’s,Information Technology (IT),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,Significant contribution,,Mismatch between academic skills and job market requirements,Agree,Likely,More valuable,It is overall good 
27,Male,Bachelor’s,Information Systems (IS),Self-employed,No,,Relevant,Significant improvement,Highly prepared,Yes,12-24 months,Significant contribution,,"Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,Important 
26,Female,Bachelor’s,Artificial Intelligence (AI),Unemployed,Yes,,Relevant,Moderate improvement,Well prepared,No,,Significant contribution,4,Lack of relevant job experience,Agree,Likely,Neutral,
26,Female,Bachelor’s,Data Science,Employed,Yes,,Relevant,Considerable improvement,Well prepared,Yes,4-6 months,Significant contribution,2,Limited job opportunities in my desired field,Agree,Neutral,Neutral,
28,Male,Bachelor’s,Information Technology (IT),Unemployed,No,,Relevant,Slight improvement,Not prepared,No,1-3 months,Significant contribution,2,Lack of relevant job experience,Disagree,Very unlikely,Much less valuable,
27,Female,Bachelor’s,Information Technology (IT),Unemployed,No,,Relevant,Considerable improvement,Well prepared,Yes,7-12 months,Minor contribution (সামান্য অবদান রেখেছে),3,Limited job opportunities in my desired field,Neutral,Neutral,Neutral,
27,Female,Bachelor’s,Information Technology (IT),Unemployed,No,,Relevant,Considerable improvement,Moderately prepared,Yes,7-12 months,Moderate contribution,4,"Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Neutral,Neutral,Neutral,
28,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,Programming ,Highly relevant,Significant improvement,Well prepared,Yes,1-3 months,Significant contribution,4,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,
27,Male,Bachelor’s,Civil and Environmental Engineering ,Unemployed,No,,Relevant,Considerable improvement,Moderately prepared,Yes,1-3 months,Minor contribution (সামান্য অবদান রেখেছে),2,Limited job opportunities in my desired field,Agree,Very likely,More valuable,
26,Male,Bachelor’s,Computer Information Systems (CIS),Unemployed,No,,Moderately relevant,Moderate improvement,Moderately prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Neutral,Neutral,Neutral,
27,Male,Bachelor’s,Data Science,Unemployed,Yes,,Moderately relevant,Slight improvement,Not prepared,Yes,Less than 1 month,No contribution,2,Lack of relevant job experience,Strongly Disagree,Very unlikely,Less valuable,
26,Male,Bachelor’s,Information Systems (IS),Self-employed,No,,Relevant,Considerable improvement,Highly prepared,Yes,4-6 months,Significant contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
26,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,Data science,Relevant,Considerable improvement,Well prepared,No,12-24 months,Major contribution,1,"Lack of relevant job experience, Personal reasons (e.g., further studies, family obligations)",Neutral,Very likely,Much more valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,Lack of relevant job experience,Agree,Likely,More valuable,
25,Female,Bachelor’s,Computer Science & Engineering (CSE),Employed,No,,Highly relevant,Considerable improvement,Well prepared,Yes,1-3 months,Significant contribution,4,Lack of relevant job experience,Agree,Likely,More valuable,Everyone should take the micro-credential course to make themselves eligible for the job market.
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Slightly relevant,Slight improvement,Slightly prepared,No,12-24 months,No contribution,3,Limited job opportunities in my desired field,Neutral,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,Lack of relevant job experience,Agree,Likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,,Slightly relevant,No improvement,Moderately prepared,Yes,,,2,"Personal reasons (e.g., further studies, family obligations)",Neutral,Likely,Less valuable,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,programming ,Highly relevant,Significant improvement,Highly prepared,Yes,4-6 months,Significant contribution,5,Mismatch between academic skills and job market requirements,Strongly Disagree,Likely,More valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,Cyber security ,Relevant,Moderate improvement,Well prepared,No,1-3 months,Minor contribution (সামান্য অবদান রেখেছে),3,Limited job opportunities in my desired field,Agree,Likely,More valuable,It will be very helpful for us to get a job in the market. 
24,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Moderately prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Agree,Neutral,Neutral,
24,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Neutral,More valuable,
23,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications",Agree,Likely,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Self-employed,Yes,Done a course in Computer and office application with certificate ,Slightly relevant,Moderate improvement,Highly prepared,Yes,Less than 1 month,Significant contribution,4,Mismatch between academic skills and job market requirements,Agree,Likely,More valuable,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Well prepared,Yes,12-24 months,Significant contribution,3,Absence of micro-credentials or specialized certifications,Agree,Likely,More valuable,
25,Female,Bachelor’s,Computer Science & Engineering (CSE),Self-employed,No,,Relevant,Considerable improvement,Well prepared,No,,,,Limited job opportunities in my desired field,Agree,Likely,More valuable,
26,Male,Bachelor’s,Data Science,Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,Limited job opportunities in my desired field,Agree,Likely,Much more valuable,
25,Female,Bachelor’s,Cloud Computing,Employed,Yes,"Data Science, Programming, Cybersecurity, Web develop",Relevant,Considerable improvement,Slightly prepared,No,,Significant contribution,4,Limited job opportunities in my desired field,Agree,Likely,More valuable,
26,Male,Bachelor’s,Real Estate ,Self-employed,Yes,Web development ,Relevant,Significant improvement,Slightly prepared,Yes,7-12 months,Significant contribution,4,Absence of micro-credentials or specialized certifications,Neutral,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Self-employed,Yes,,Slightly relevant,Slight improvement,Slightly prepared,No,4-6 months,Minor contribution (সামান্য অবদান রেখেছে),1,Lack of relevant job experience,Neutral,Neutral,Neutral,
28,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,Programming ,Relevant,Considerable improvement,Moderately prepared,Yes,7-12 months,Moderate contribution,3,Mismatch between academic skills and job market requirements,Agree,Neutral,Neutral,
27,Male,Bachelor’s,Data Science,Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements",Strongly Disagree,Very likely,Much more valuable,
26,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Not relevant,Considerable improvement,Highly prepared,No,,Moderate contribution,3,"Lack of relevant job experience, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Neutral,Neutral,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Limited job opportunities in my desired field",Agree,Very likely,More valuable,
26,Male,Bachelor’s,Data Science,Unemployed,No,,Highly relevant,Significant improvement,Well prepared,No,,Significant contribution,,Mismatch between academic skills and job market requirements,Agree,Likely,More valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Slight improvement,Highly prepared,No,,,,Absence of micro-credentials or specialized certifications,Agree,Likely,Much more valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,Programming,Relevant,Moderate improvement,Moderately prepared,No,,Minor contribution (সামান্য অবদান রেখেছে),3,"Lack of relevant job experience, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,Neutral,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Moderate improvement,Well prepared,No,,,,Mismatch between academic skills and job market requirements,Agree,Likely,More valuable,
26,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Well prepared,No,,,,Absence of micro-credentials or specialized certifications,Agree,Likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,No,,Relevant,Moderate improvement,Moderately prepared,Yes,12-24 months,Moderate contribution,4,Limited job opportunities in my desired field,Agree,Neutral,Neutral,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Considerable improvement,Well prepared,No,,,,Limited job opportunities in my desired field,Agree,Likely,Neutral,
23,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,,Major contribution,3,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Self-employed,Yes,Data science ,Relevant,Considerable improvement,Moderately prepared,Yes,4-6 months,Significant contribution,3,Limited job opportunities in my desired field,Agree,Likely,Neutral,
26,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Moderate improvement,Well prepared,No,,Moderate contribution,3,"Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Self-employed,No,No,Relevant,Moderate improvement,Moderately prepared,Yes,4-6 months,No contribution,3,Lack of relevant job experience,Neutral,Likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,,Relevant,Considerable improvement,Highly prepared,No,More than 24 months,Significant contribution,3,Lack of relevant job experience,Agree,Likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Significant improvement,Well prepared,No,,,,Mismatch between academic skills and job market requirements,Strongly Agree,Very likely,Much more valuable,
28,Male,Bachelor’s,Information Technology (IT),Unemployed,No,,Relevant,Considerable improvement,Well prepared,Yes,1-3 months,Moderate contribution,3,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,
27,Male,Bachelor’s,Information Technology (IT),Employed,No,,Relevant,Considerable improvement,Moderately prepared,Yes,12-24 months,Moderate contribution,3,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,
27,Male,Master’s,Information Technology (IT),Employed,No,,Relevant,Considerable improvement,Well prepared,Yes,More than 24 months,Significant contribution,4,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,,Highly relevant,Significant improvement,Highly prepared,Yes,Less than 1 month,Significant contribution,5,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Data Science,Employed,No,,Moderately relevant,Considerable improvement,Well prepared,Yes,7-12 months,Moderate contribution,3,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,
26,Female,Bachelor’s,Artificial Intelligence (AI),Employed,No,,Moderately relevant,Considerable improvement,Well prepared,No,12-24 months,Significant contribution,3,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,
26,Male,Bachelor’s,Information Technology (IT),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,More than 24 months,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,
27,Male,Diploma,Data Science,Unemployed,No,,Relevant,Moderate improvement,Moderately prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Well prepared,No,,Moderate contribution,3,"Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements",Agree,Likely,More valuable,
25,Male,Bachelor’s,Information Technology (IT),Unemployed,No,,Highly relevant,Considerable improvement,Well prepared,No,,,,Mismatch between academic skills and job market requirements,Strongly Agree,Very likely,More valuable,
25,Male,Bachelor’s,Computer Information Systems (CIS),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,Significant contribution,4,Absence of micro-credentials or specialized certifications,Agree,Very likely,More valuable,
25,Male,Bachelor’s,Information Technology (IT),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,5,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements",Agree,Likely,More valuable,
26,Male,Bachelor’s,Software Engineering (SWE),Unemployed,No,,Highly relevant,Considerable improvement,Well prepared,No,7-12 months,Moderate contribution,4,Lack of relevant job experience,Agree,Likely,More valuable,
25,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,3,Absence of micro-credentials or specialized certifications,Agree,Likely,More valuable,It's a Good opportunity for everyone. 
28,Male,Bachelor’s,Information Systems (IS),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Agree,Likely,More valuable,
30,Male,Bachelor’s,Information Technology (IT),Employed,No,,Relevant,No improvement,Well prepared,Yes,More than 24 months,Significant contribution,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Agree,Likely,More valuable,
28,Male,Bachelor’s,Information Technology (IT),Employed,No,,Relevant,Moderate improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,Neutral,
26,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Data Science,Employed,No,,Relevant,Considerable improvement,Well prepared,Yes,4-6 months,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Agree,Likely,More valuable,
29,Female,Bachelor’s,Software Engineering (SWE),Employed,No,,Relevant,Considerable improvement,Highly prepared,Yes,1-3 months,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Agree,Likely,More valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,programming ,Relevant,Considerable improvement,Moderately prepared,No,,Minor contribution (সামান্য অবদান রেখেছে),,Lack of relevant job experience,Agree,Likely,Neutral,
25,Male,Bachelor’s,Information Technology (IT),Unemployed,Yes,No,Relevant,Considerable improvement,Slightly prepared,No,,Minor contribution (সামান্য অবদান রেখেছে),4,Lack of relevant job experience,Agree,Likely,More valuable,
24,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"ML,DL",Relevant,Considerable improvement,Well prepared,Yes,Less than 1 month,Significant contribution,3,Lack of relevant job experience,Agree,Likely,Much more valuable,
23,Female,Diploma,Computer Science & Engineering (CSE),Employed,No,,Relevant,Considerable improvement,Slightly prepared,Yes,4-6 months,Moderate contribution,3,"Personal reasons (e.g., further studies, family obligations)",Neutral,Very unlikely,Much less valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Moderately prepared,No,,,,Lack of relevant job experience,Agree,Neutral,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Student,No,,Highly relevant,Significant improvement,Highly prepared,No,7-12 months,Major contribution,5,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Strongly Agree,Very likely,More valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Highly prepared,No,,Significant contribution,5,"Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
23,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Considerable improvement,Moderately prepared,No,,Moderate contribution,3,Lack of relevant job experience,Agree,Neutral,Neutral,
24,Male,Other,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Slightly prepared,No,,,3,Limited job opportunities in my desired field,Agree,Likely,Neutral,
23,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,Mismatch between academic skills and job market requirements,Agree,Likely,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Slightly prepared,No,,Significant contribution,4,Lack of relevant job experience,Agree,Likely,Neutral,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,No,Highly relevant,Considerable improvement,Well prepared,No,,Minor contribution (সামান্য অবদান রেখেছে),1,Mismatch between academic skills and job market requirements,Neutral,Neutral,Neutral,
24,Male,Other,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Moderate improvement,Slightly prepared,No,,Moderate contribution,3,Limited job opportunities in my desired field,Neutral,Neutral,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Significant improvement,Well prepared,No,,Significant contribution,4,"Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Very likely,More valuable,
24,Male,Other,HSC,Unemployed,No,,Moderately relevant,Slight improvement,Slightly prepared,No,,,2,Lack of relevant job experience,Neutral,Neutral,Neutral,
25,Male,Other,Computer Science & Engineering (CSE),Unemployed,No,,Slightly relevant,Considerable improvement,Slightly prepared,No,More than 24 months,No contribution,1,"Lack of relevant job experience, ",Neutral,Very unlikely,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,No,,Highly relevant,Considerable improvement,Well prepared,No,7-12 months,Significant contribution,5,Mismatch between academic skills and job market requirements,Agree,Likely,More valuable,A certificate at the end of the course will be very useful.
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"সাইবার নিরাপত্তা, ডেটা সায়েন্স ",Relevant,Significant improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,"If the micro-credential course has a specific structure, it will be very helpful in getting a job."
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,Yes ,Relevant,Considerable improvement,Well prepared,No,4-6 months,Significant contribution,5,Mismatch between academic skills and job market requirements,Strongly Agree,Likely,More valuable,No
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,,,1,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations), ",Agree,Very likely,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"CODE SOLVING, Digital marketing, cpa marketing etc",Highly relevant,Considerable improvement,Slightly prepared,No,4-6 months,Moderate contribution,5,Absence of micro-credentials or specialized certifications,Strongly Disagree,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,,Relevant,Considerable improvement,Moderately prepared,No,,,,Limited job opportunities in my desired field,Agree,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,Programming ,Relevant,Considerable improvement,Highly prepared,Yes,Less than 1 month,Significant contribution,4,Mismatch between academic skills and job market requirements,Agree,Very likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Considerable improvement,Highly prepared,No,,Significant contribution,5,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Agree,Very likely,Much more valuable,This is very important.
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,,Relevant,Significant improvement,Slightly prepared,No,Less than 1 month,Minor contribution (সামান্য অবদান রেখেছে),3,Lack of relevant job experience,Neutral,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"C programming, java, python ",Relevant,Significant improvement,Well prepared,No,,Moderate contribution,4,Mismatch between academic skills and job market requirements,Agree,Likely,More valuable,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Slightly relevant,Moderate improvement,Moderately prepared,No,,Significant contribution,,Mismatch between academic skills and job market requirements,Neutral,Likely,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Well prepared,No,4-6 months,Moderate contribution,4,Absence of micro-credentials or specialized certifications,Agree,Likely,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Moderately prepared,No,,Significant contribution,3,Mismatch between academic skills and job market requirements,Neutral,Neutral,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Moderate improvement,Moderately prepared,No,,Moderate contribution,3,Limited job opportunities in my desired field,Agree,Likely,More valuable,
25,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,Cood solving programming,Relevant,Significant improvement,Highly prepared,No,More than 24 months,Significant contribution,5,Lack of relevant job experience,Strongly Disagree,Very unlikely,Much less valuable,
24,Female,Other,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,Limited job opportunities in my desired field,Agree,Likely,More valuable,It’s good for job
25,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"Programming, problem solving, ",Relevant,Considerable improvement,Well prepared,No,,,,Mismatch between academic skills and job market requirements,Strongly Agree,Very likely,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Moderately prepared,No,,,,Personal reason,Neutral,Neutral,Neutral,Good
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"C programing,Java",Moderately relevant,No improvement,Slightly prepared,No,,No contribution,1,"Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements",Neutral,Neutral,Neutral,
27,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"C programming,java,hmtl",Moderately relevant,Slight improvement,Slightly prepared,No,,No contribution,1,"Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements",Neutral,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,C programming ,Moderately relevant,Slight improvement,Slightly prepared,No,,Moderate contribution,3,Limited job opportunities in my desired field,Agree,Likely,More valuable,
